"producto","indice_vulnerabilidad"
"ARROZ",0.173776924559711
"CARNE DE CERDO",0.127385194511255
"CARNE DE RES",0.327910149930118
"CEBOLLA CABEZONA",0.133903942730986
"CEBOLLA CABEZONA BLANCA",0.271187960450395
"CEBOLLA CABEZONA ROJA",0.354916558504968
"CEBOLLA JUNCA",0.196406661020855
"CILANTRO",0.198751281203802
"FRÍJOL",0.0624306428029605
"FRÍJOL VERDE",0.128935843287692
"HUEVO",0.187063495877648
"LECHUGA BATAVIA",0.233509450458011
"LECHUGA CRESPA",0.143119576588952
"LECHUGAS OTRAS",0.247669406168294
"LIMÓN COMÚN",0.447158764601091
"LIMÓN MANDARINO",0.0960217138523034
"LIMÓN TAHITÍ",0.0483510230697924
"LIMONES OTROS",0.17859906609829
"PAPA BETINA",1
"PAPA CAPIRA",0.205242432357838
"PAPA CRIOLLA",0.130699199357693
"PAPA MORASURCO",0.579439704219676
"PAPA NEVADA",0.264302160102604
"PAPA PARDA PASTUSA",0.795793456112611
"PAPA R-12",0.478944002826101
"PAPA RUBÍ",0.545453080461821
"PAPA SUPERIOR",0.430208114514614
"PAPA ÚNICA",0.438943859132259
"PAPAS NEGRAS OTRAS",0.502407581056337
"PLÁTANO GUINEO",0.15929041120084
"PLÁTANO HARTÓN VERDE",0.145342651360529
"PLÁTANOS OTROS",0.219271417372046
"REPOLLO",0.221707099270078
"TOMATE CHONTO",0.0685021458287418
"TOMATE LARGA VIDA",0.200031231786336
"TOMATE RIOGRANDE",0.307416047933986
"TOMATES OTROS",0.503927087954973
"YUCA",0.470420722456862
"ZANAHORIA",0.195201834264202
